age,vehicle_age,annual_mileage,accident_history,vehicle_type_SUV,vehicle_type_Sedan,vehicle_type_Tractor,vehicle_type_Truck,claim
27,2,10388,2,False,False,False,False,True
19,5,29344,1,False,True,False,False,False
26,1,18211,4,False,False,False,True,True
49,2,21758,1,False,False,True,False,True
45,9,13303,3,False,True,False,False,True
61,15,29329,3,True,False,False,False,False
34,16,27202,5,False,True,False,False,True
48,16,13895,0,False,False,False,True,True
25,1,21682,2,False,True,False,False,True
66,1,23978,1,False,False,True,False,True
29,9,11131,2,True,False,False,False,False
54,9,8144,4,False,False,False,True,True
80,18,19300,5,False,False,True,False,True
52,4,20256,2,False,False,False,False,True
36,3,26736,5,False,True,False,False,False
49,9,12595,5,False,False,True,False,True
48,10,6497,2,False,True,False,False,False
76,1,14477,3,False,False,False,False,True
70,15,7690,5,True,False,False,False,False
23,16,29794,4,False,False,False,False,True
56,9,21526,0,False,False,True,False,False
55,17,9734,3,False,False,True,False,False
19,6,17458,1,False,True,False,False,False
72,0,5116,2,True,False,False,False,False
32,3,22791,2,True,False,False,False,True
18,16,25911,0,False,False,False,False,False
37,14,14300,0,False,False,False,True,True
32,15,12350,0,True,False,False,False,False
79,5,20089,3,False,False,False,False,False
22,5,25900,4,False,False,False,False,False
76,18,21360,3,False,False,False,False,False
76,6,28132,4,True,False,False,False,False
28,11,26320,3,False,False,False,True,False
54,18,5483,3,False,True,False,False,False
56,5,6188,3,True,False,False,False,False
43,17,14048,4,False,False,True,False,True
21,1,6262,0,False,False,False,False,False
19,15,28650,2,False,False,True,False,True
26,19,9172,3,False,True,False,False,True
78,20,25373,4,False,False,False,True,False
69,5,19771,1,False,False,True,False,True
49,18,27672,2,False,False,False,False,True
62,20,6194,5,False,False,False,False,True
25,4,28440,3,False,False,True,False,False
25,16,11926,0,True,False,False,False,True
60,4,9714,2,False,False,True,False,False
43,0,19061,1,False,False,False,True,True
43,7,11447,1,False,False,False,False,False
36,7,28798,1,False,False,False,True,False
80,10,17424,5,False,False,False,True,True
22,5,26751,5,False,False,False,True,True
71,11,21953,3,False,False,False,False,False
65,10,27135,5,False,True,False,False,False
43,18,9553,4,False,True,False,False,True
22,15,27785,3,False,False,False,True,True
56,3,26357,2,True,False,False,False,False
68,0,20110,4,False,False,True,False,True
27,16,6620,5,False,False,False,False,True
66,7,13272,2,False,True,False,False,True
40,19,29564,1,False,False,False,False,True
33,6,20974,4,False,False,True,False,True
54,17,9911,4,False,False,False,False,False
31,20,8432,5,True,False,False,False,True
29,9,15986,2,False,False,True,False,True
63,3,28752,1,False,False,False,True,False
39,8,24948,5,False,True,False,False,False
53,8,7582,5,False,False,False,False,False
20,0,14025,3,False,False,False,False,False
22,18,27178,3,False,False,False,True,True
29,14,16989,4,False,False,False,True,True
42,3,27575,1,False,True,False,False,False
19,18,10009,0,False,False,False,True,False
68,4,9035,2,False,False,True,False,True
19,15,22177,0,False,False,True,False,True
20,7,6979,5,True,False,False,False,False
34,19,18779,0,False,True,False,False,True
34,5,6199,0,False,False,True,False,True
20,13,18608,3,False,True,False,False,False
65,0,9464,2,False,False,True,False,False
57,0,26534,4,False,True,False,False,False
38,19,26864,0,False,False,False,True,False
22,13,27204,5,True,False,False,False,False
40,13,11535,5,False,False,False,True,True
38,18,22664,5,False,False,True,False,False
49,4,23857,1,False,False,False,True,True
20,16,20769,1,False,False,False,False,False
58,0,25776,3,False,False,True,False,False
24,2,23310,2,True,False,False,False,True
56,18,18087,3,False,False,False,True,False
19,10,17447,2,False,False,False,True,True
56,13,5550,1,False,True,False,False,True
56,20,21967,0,False,False,False,True,False
44,1,13987,0,False,False,False,True,True
64,9,15024,4,False,False,True,False,True
30,9,9948,2,False,False,False,False,False
63,20,11523,3,False,False,False,True,True
22,11,18338,0,True,False,False,False,False
52,7,7095,3,False,True,False,False,True
59,12,24529,4,False,True,False,False,True
78,2,17572,5,False,False,True,False,True
27,2,10388,2,False,False,False,False,True
19,5,29344,1,False,True,False,False,False
26,1,18211,4,False,False,False,True,True
49,2,21758,1,False,False,True,False,True
45,9,13303,3,False,True,False,False,True
61,15,29329,3,True,False,False,False,False
34,16,27202,5,False,True,False,False,True
48,16,13895,0,False,False,False,True,True
25,1,21682,2,False,True,False,False,True
66,1,23978,1,False,False,True,False,True
29,9,11131,2,True,False,False,False,False
54,9,8144,4,False,False,False,True,True
80,18,19300,5,False,False,True,False,True
52,4,20256,2,False,False,False,False,True
36,3,26736,5,False,True,False,False,False
49,9,12595,5,False,False,True,False,True
48,10,6497,2,False,True,False,False,False
76,1,14477,3,False,False,False,False,True
70,15,7690,5,True,False,False,False,False
23,16,29794,4,False,False,False,False,True
56,9,21526,0,False,False,True,False,False
55,17,9734,3,False,False,True,False,False
19,6,17458,1,False,True,False,False,False
72,0,5116,2,True,False,False,False,False
32,3,22791,2,True,False,False,False,True
18,16,25911,0,False,False,False,False,False
37,14,14300,0,False,False,False,True,True
32,15,12350,0,True,False,False,False,False
79,5,20089,3,False,False,False,False,False
22,5,25900,4,False,False,False,False,False
76,18,21360,3,False,False,False,False,False
76,6,28132,4,True,False,False,False,False
28,11,26320,3,False,False,False,True,False
54,18,5483,3,False,True,False,False,False
56,5,6188,3,True,False,False,False,False
43,17,14048,4,False,False,True,False,True
21,1,6262,0,False,False,False,False,False
19,15,28650,2,False,False,True,False,True
26,19,9172,3,False,True,False,False,True
78,20,25373,4,False,False,False,True,False
69,5,19771,1,False,False,True,False,True
49,18,27672,2,False,False,False,False,True
62,20,6194,5,False,False,False,False,True
25,4,28440,3,False,False,True,False,False
25,16,11926,0,True,False,False,False,True
60,4,9714,2,False,False,True,False,False
43,0,19061,1,False,False,False,True,True
43,7,11447,1,False,False,False,False,False
36,7,28798,1,False,False,False,True,False
80,10,17424,5,False,False,False,True,True
22,5,26751,5,False,False,False,True,True
71,11,21953,3,False,False,False,False,False
65,10,27135,5,False,True,False,False,False
43,18,9553,4,False,True,False,False,True
22,15,27785,3,False,False,False,True,True
56,3,26357,2,True,False,False,False,False
68,0,20110,4,False,False,True,False,True
27,16,6620,5,False,False,False,False,True
66,7,13272,2,False,True,False,False,True
40,19,29564,1,False,False,False,False,True
33,6,20974,4,False,False,True,False,True
54,17,9911,4,False,False,False,False,False
31,20,8432,5,True,False,False,False,True
29,9,15986,2,False,False,True,False,True
63,3,28752,1,False,False,False,True,False
39,8,24948,5,False,True,False,False,False
53,8,7582,5,False,False,False,False,False
20,0,14025,3,False,False,False,False,False
22,18,27178,3,False,False,False,True,True
29,14,16989,4,False,False,False,True,True
42,3,27575,1,False,True,False,False,False
19,18,10009,0,False,False,False,True,False
68,4,9035,2,False,False,True,False,True
19,15,22177,0,False,False,True,False,True
20,7,6979,5,True,False,False,False,False
34,19,18779,0,False,True,False,False,True
34,5,6199,0,False,False,True,False,True
20,13,18608,3,False,True,False,False,False
65,0,9464,2,False,False,True,False,False
57,0,26534,4,False,True,False,False,False
38,19,26864,0,False,False,False,True,False
22,13,27204,5,True,False,False,False,False
40,13,11535,5,False,False,False,True,True
38,18,22664,5,False,False,True,False,False
49,4,23857,1,False,False,False,True,True
20,16,20769,1,False,False,False,False,False
58,0,25776,3,False,False,True,False,False
24,2,23310,2,True,False,False,False,True
56,18,18087,3,False,False,False,True,False
19,10,17447,2,False,False,False,True,True
56,13,5550,1,False,True,False,False,True
56,20,21967,0,False,False,False,True,False
44,1,13987,0,False,False,False,True,True
64,9,15024,4,False,False,True,False,True
30,9,9948,2,False,False,False,False,False
63,20,11523,3,False,False,False,True,True
22,11,18338,0,True,False,False,False,False
52,7,7095,3,False,True,False,False,True
59,12,24529,4,False,True,False,False,True
78,2,17572,5,False,False,True,False,True
27,2,10388,2,False,False,False,False,True
19,5,29344,1,False,True,False,False,False
26,1,18211,4,False,False,False,True,True
49,2,21758,1,False,False,True,False,True
45,9,13303,3,False,True,False,False,True
61,15,29329,3,True,False,False,False,False
34,16,27202,5,False,True,False,False,True
48,16,13895,0,False,False,False,True,True
25,1,21682,2,False,True,False,False,True
66,1,23978,1,False,False,True,False,True
29,9,11131,2,True,False,False,False,False
54,9,8144,4,False,False,False,True,True
80,18,19300,5,False,False,True,False,True
52,4,20256,2,False,False,False,False,True
36,3,26736,5,False,True,False,False,False
49,9,12595,5,False,False,True,False,True
48,10,6497,2,False,True,False,False,False
76,1,14477,3,False,False,False,False,True
70,15,7690,5,True,False,False,False,False
23,16,29794,4,False,False,False,False,True
56,9,21526,0,False,False,True,False,False
55,17,9734,3,False,False,True,False,False
19,6,17458,1,False,True,False,False,False
72,0,5116,2,True,False,False,False,False
32,3,22791,2,True,False,False,False,True
18,16,25911,0,False,False,False,False,False
37,14,14300,0,False,False,False,True,True
32,15,12350,0,True,False,False,False,False
79,5,20089,3,False,False,False,False,False
22,5,25900,4,False,False,False,False,False
76,18,21360,3,False,False,False,False,False
76,6,28132,4,True,False,False,False,False
28,11,26320,3,False,False,False,True,False
54,18,5483,3,False,True,False,False,False
56,5,6188,3,True,False,False,False,False
43,17,14048,4,False,False,True,False,True
21,1,6262,0,False,False,False,False,False
19,15,28650,2,False,False,True,False,True
26,19,9172,3,False,True,False,False,True
78,20,25373,4,False,False,False,True,False
69,5,19771,1,False,False,True,False,True
49,18,27672,2,False,False,False,False,True
62,20,6194,5,False,False,False,False,True
25,4,28440,3,False,False,True,False,False
25,16,11926,0,True,False,False,False,True
60,4,9714,2,False,False,True,False,False
43,0,19061,1,False,False,False,True,True
43,7,11447,1,False,False,False,False,False
36,7,28798,1,False,False,False,True,False
80,10,17424,5,False,False,False,True,True
22,5,26751,5,False,False,False,True,True
71,11,21953,3,False,False,False,False,False
65,10,27135,5,False,True,False,False,False
43,18,9553,4,False,True,False,False,True
22,15,27785,3,False,False,False,True,True
56,3,26357,2,True,False,False,False,False
68,0,20110,4,False,False,True,False,True
27,16,6620,5,False,False,False,False,True
66,7,13272,2,False,True,False,False,True
40,19,29564,1,False,False,False,False,True
33,6,20974,4,False,False,True,False,True
54,17,9911,4,False,False,False,False,False
31,20,8432,5,True,False,False,False,True
29,9,15986,2,False,False,True,False,True
63,3,28752,1,False,False,False,True,False
39,8,24948,5,False,True,False,False,False
53,8,7582,5,False,False,False,False,False
20,0,14025,3,False,False,False,False,False
22,18,27178,3,False,False,False,True,True
29,14,16989,4,False,False,False,True,True
42,3,27575,1,False,True,False,False,False
19,18,10009,0,False,False,False,True,False
68,4,9035,2,False,False,True,False,True
19,15,22177,0,False,False,True,False,True
20,7,6979,5,True,False,False,False,False
34,19,18779,0,False,True,False,False,True
34,5,6199,0,False,False,True,False,True
20,13,18608,3,False,True,False,False,False
65,0,9464,2,False,False,True,False,False
57,0,26534,4,False,True,False,False,False
38,19,26864,0,False,False,False,True,False
22,13,27204,5,True,False,False,False,False
40,13,11535,5,False,False,False,True,True
38,18,22664,5,False,False,True,False,False
49,4,23857,1,False,False,False,True,True
20,16,20769,1,False,False,False,False,False
58,0,25776,3,False,False,True,False,False
24,2,23310,2,True,False,False,False,True
56,18,18087,3,False,False,False,True,False
19,10,17447,2,False,False,False,True,True
56,13,5550,1,False,True,False,False,True
56,20,21967,0,False,False,False,True,False
44,1,13987,0,False,False,False,True,True
64,9,15024,4,False,False,True,False,True
30,9,9948,2,False,False,False,False,False
63,20,11523,3,False,False,False,True,True
22,11,18338,0,True,False,False,False,False
52,7,7095,3,False,True,False,False,True
59,12,24529,4,False,True,False,False,True
78,2,17572,5,False,False,True,False,True
27,2,10388,2,False,False,False,False,True
19,5,29344,1,False,True,False,False,False
26,1,18211,4,False,False,False,True,True
49,2,21758,1,False,False,True,False,True
45,9,13303,3,False,True,False,False,True
61,15,29329,3,True,False,False,False,False
34,16,27202,5,False,True,False,False,True
48,16,13895,0,False,False,False,True,True
25,1,21682,2,False,True,False,False,True
66,1,23978,1,False,False,True,False,True
29,9,11131,2,True,False,False,False,False
54,9,8144,4,False,False,False,True,True
80,18,19300,5,False,False,True,False,True
52,4,20256,2,False,False,False,False,True
36,3,26736,5,False,True,False,False,False
49,9,12595,5,False,False,True,False,True
48,10,6497,2,False,True,False,False,False
76,1,14477,3,False,False,False,False,True
70,15,7690,5,True,False,False,False,False
23,16,29794,4,False,False,False,False,True
56,9,21526,0,False,False,True,False,False
55,17,9734,3,False,False,True,False,False
19,6,17458,1,False,True,False,False,False
72,0,5116,2,True,False,False,False,False
32,3,22791,2,True,False,False,False,True
18,16,25911,0,False,False,False,False,False
37,14,14300,0,False,False,False,True,True
32,15,12350,0,True,False,False,False,False
79,5,20089,3,False,False,False,False,False
22,5,25900,4,False,False,False,False,False
76,18,21360,3,False,False,False,False,False
76,6,28132,4,True,False,False,False,False
28,11,26320,3,False,False,False,True,False
54,18,5483,3,False,True,False,False,False
56,5,6188,3,True,False,False,False,False
43,17,14048,4,False,False,True,False,True
21,1,6262,0,False,False,False,False,False
19,15,28650,2,False,False,True,False,True
26,19,9172,3,False,True,False,False,True
78,20,25373,4,False,False,False,True,False
69,5,19771,1,False,False,True,False,True
49,18,27672,2,False,False,False,False,True
62,20,6194,5,False,False,False,False,True
25,4,28440,3,False,False,True,False,False
25,16,11926,0,True,False,False,False,True
60,4,9714,2,False,False,True,False,False
43,0,19061,1,False,False,False,True,True
43,7,11447,1,False,False,False,False,False
36,7,28798,1,False,False,False,True,False
80,10,17424,5,False,False,False,True,True
22,5,26751,5,False,False,False,True,True
71,11,21953,3,False,False,False,False,False
65,10,27135,5,False,True,False,False,False
43,18,9553,4,False,True,False,False,True
22,15,27785,3,False,False,False,True,True
56,3,26357,2,True,False,False,False,False
68,0,20110,4,False,False,True,False,True
27,16,6620,5,False,False,False,False,True
66,7,13272,2,False,True,False,False,True
40,19,29564,1,False,False,False,False,True
33,6,20974,4,False,False,True,False,True
54,17,9911,4,False,False,False,False,False
31,20,8432,5,True,False,False,False,True
29,9,15986,2,False,False,True,False,True
63,3,28752,1,False,False,False,True,False
39,8,24948,5,False,True,False,False,False
53,8,7582,5,False,False,False,False,False
20,0,14025,3,False,False,False,False,False
22,18,27178,3,False,False,False,True,True
29,14,16989,4,False,False,False,True,True
42,3,27575,1,False,True,False,False,False
19,18,10009,0,False,False,False,True,False
68,4,9035,2,False,False,True,False,True
19,15,22177,0,False,False,True,False,True
20,7,6979,5,True,False,False,False,False
34,19,18779,0,False,True,False,False,True
34,5,6199,0,False,False,True,False,True
20,13,18608,3,False,True,False,False,False
65,0,9464,2,False,False,True,False,False
57,0,26534,4,False,True,False,False,False
38,19,26864,0,False,False,False,True,False
22,13,27204,5,True,False,False,False,False
40,13,11535,5,False,False,False,True,True
38,18,22664,5,False,False,True,False,False
49,4,23857,1,False,False,False,True,True
20,16,20769,1,False,False,False,False,False
58,0,25776,3,False,False,True,False,False
24,2,23310,2,True,False,False,False,True
56,18,18087,3,False,False,False,True,False
19,10,17447,2,False,False,False,True,True
56,13,5550,1,False,True,False,False,True
56,20,21967,0,False,False,False,True,False
44,1,13987,0,False,False,False,True,True
64,9,15024,4,False,False,True,False,True
30,9,9948,2,False,False,False,False,False
63,20,11523,3,False,False,False,True,True
22,11,18338,0,True,False,False,False,False
52,7,7095,3,False,True,False,False,True
59,12,24529,4,False,True,False,False,True
78,2,17572,5,False,False,True,False,True
27,2,10388,2,False,False,False,False,True
19,5,29344,1,False,True,False,False,False
26,1,18211,4,False,False,False,True,True
49,2,21758,1,False,False,True,False,True
45,9,13303,3,False,True,False,False,True
61,15,29329,3,True,False,False,False,False
34,16,27202,5,False,True,False,False,True
48,16,13895,0,False,False,False,True,True
25,1,21682,2,False,True,False,False,True
66,1,23978,1,False,False,True,False,True
29,9,11131,2,True,False,False,False,False
54,9,8144,4,False,False,False,True,True
80,18,19300,5,False,False,True,False,True
52,4,20256,2,False,False,False,False,True
36,3,26736,5,False,True,False,False,False
49,9,12595,5,False,False,True,False,True
48,10,6497,2,False,True,False,False,False
76,1,14477,3,False,False,False,False,True
70,15,7690,5,True,False,False,False,False
23,16,29794,4,False,False,False,False,True
56,9,21526,0,False,False,True,False,False
55,17,9734,3,False,False,True,False,False
19,6,17458,1,False,True,False,False,False
72,0,5116,2,True,False,False,False,False
32,3,22791,2,True,False,False,False,True
18,16,25911,0,False,False,False,False,False
37,14,14300,0,False,False,False,True,True
32,15,12350,0,True,False,False,False,False
79,5,20089,3,False,False,False,False,False
22,5,25900,4,False,False,False,False,False
76,18,21360,3,False,False,False,False,False
76,6,28132,4,True,False,False,False,False
28,11,26320,3,False,False,False,True,False
54,18,5483,3,False,True,False,False,False
56,5,6188,3,True,False,False,False,False
43,17,14048,4,False,False,True,False,True
21,1,6262,0,False,False,False,False,False
19,15,28650,2,False,False,True,False,True
26,19,9172,3,False,True,False,False,True
78,20,25373,4,False,False,False,True,False
69,5,19771,1,False,False,True,False,True
49,18,27672,2,False,False,False,False,True
62,20,6194,5,False,False,False,False,True
25,4,28440,3,False,False,True,False,False
25,16,11926,0,True,False,False,False,True
60,4,9714,2,False,False,True,False,False
43,0,19061,1,False,False,False,True,True
43,7,11447,1,False,False,False,False,False
36,7,28798,1,False,False,False,True,False
80,10,17424,5,False,False,False,True,True
22,5,26751,5,False,False,False,True,True
71,11,21953,3,False,False,False,False,False
65,10,27135,5,False,True,False,False,False
43,18,9553,4,False,True,False,False,True
22,15,27785,3,False,False,False,True,True
56,3,26357,2,True,False,False,False,False
68,0,20110,4,False,False,True,False,True
27,16,6620,5,False,False,False,False,True
66,7,13272,2,False,True,False,False,True
40,19,29564,1,False,False,False,False,True
33,6,20974,4,False,False,True,False,True
54,17,9911,4,False,False,False,False,False
31,20,8432,5,True,False,False,False,True
29,9,15986,2,False,False,True,False,True
63,3,28752,1,False,False,False,True,False
39,8,24948,5,False,True,False,False,False
53,8,7582,5,False,False,False,False,False
20,0,14025,3,False,False,False,False,False
22,18,27178,3,False,False,False,True,True
29,14,16989,4,False,False,False,True,True
42,3,27575,1,False,True,False,False,False
19,18,10009,0,False,False,False,True,False
68,4,9035,2,False,False,True,False,True
19,15,22177,0,False,False,True,False,True
20,7,6979,5,True,False,False,False,False
34,19,18779,0,False,True,False,False,True
34,5,6199,0,False,False,True,False,True
20,13,18608,3,False,True,False,False,False
65,0,9464,2,False,False,True,False,False
57,0,26534,4,False,True,False,False,False
38,19,26864,0,False,False,False,True,False
22,13,27204,5,True,False,False,False,False
40,13,11535,5,False,False,False,True,True
38,18,22664,5,False,False,True,False,False
49,4,23857,1,False,False,False,True,True
20,16,20769,1,False,False,False,False,False
58,0,25776,3,False,False,True,False,False
24,2,23310,2,True,False,False,False,True
56,18,18087,3,False,False,False,True,False
19,10,17447,2,False,False,False,True,True
56,13,5550,1,False,True,False,False,True
56,20,21967,0,False,False,False,True,False
44,1,13987,0,False,False,False,True,True
64,9,15024,4,False,False,True,False,True
30,9,9948,2,False,False,False,False,False
63,20,11523,3,False,False,False,True,True
22,11,18338,0,True,False,False,False,False
52,7,7095,3,False,True,False,False,True
59,12,24529,4,False,True,False,False,True
78,2,17572,5,False,False,True,False,True
27,2,10388,2,False,False,False,False,True
19,5,29344,1,False,True,False,False,False
26,1,18211,4,False,False,False,True,True
49,2,21758,1,False,False,True,False,True
45,9,13303,3,False,True,False,False,True
61,15,29329,3,True,False,False,False,False
34,16,27202,5,False,True,False,False,True
48,16,13895,0,False,False,False,True,True
25,1,21682,2,False,True,False,False,True
66,1,23978,1,False,False,True,False,True
29,9,11131,2,True,False,False,False,False
54,9,8144,4,False,False,False,True,True
80,18,19300,5,False,False,True,False,True
52,4,20256,2,False,False,False,False,True
36,3,26736,5,False,True,False,False,False
49,9,12595,5,False,False,True,False,True
48,10,6497,2,False,True,False,False,False
76,1,14477,3,False,False,False,False,True
70,15,7690,5,True,False,False,False,False
23,16,29794,4,False,False,False,False,True
56,9,21526,0,False,False,True,False,False
55,17,9734,3,False,False,True,False,False
19,6,17458,1,False,True,False,False,False
72,0,5116,2,True,False,False,False,False
32,3,22791,2,True,False,False,False,True
18,16,25911,0,False,False,False,False,False
37,14,14300,0,False,False,False,True,True
32,15,12350,0,True,False,False,False,False
79,5,20089,3,False,False,False,False,False
22,5,25900,4,False,False,False,False,False
76,18,21360,3,False,False,False,False,False
76,6,28132,4,True,False,False,False,False
28,11,26320,3,False,False,False,True,False
54,18,5483,3,False,True,False,False,False
56,5,6188,3,True,False,False,False,False
43,17,14048,4,False,False,True,False,True
21,1,6262,0,False,False,False,False,False
19,15,28650,2,False,False,True,False,True
26,19,9172,3,False,True,False,False,True
78,20,25373,4,False,False,False,True,False
69,5,19771,1,False,False,True,False,True
49,18,27672,2,False,False,False,False,True
62,20,6194,5,False,False,False,False,True
25,4,28440,3,False,False,True,False,False
25,16,11926,0,True,False,False,False,True
60,4,9714,2,False,False,True,False,False
43,0,19061,1,False,False,False,True,True
43,7,11447,1,False,False,False,False,False
36,7,28798,1,False,False,False,True,False
80,10,17424,5,False,False,False,True,True
22,5,26751,5,False,False,False,True,True
71,11,21953,3,False,False,False,False,False
65,10,27135,5,False,True,False,False,False
43,18,9553,4,False,True,False,False,True
22,15,27785,3,False,False,False,True,True
56,3,26357,2,True,False,False,False,False
68,0,20110,4,False,False,True,False,True
27,16,6620,5,False,False,False,False,True
66,7,13272,2,False,True,False,False,True
40,19,29564,1,False,False,False,False,True
33,6,20974,4,False,False,True,False,True
54,17,9911,4,False,False,False,False,False
31,20,8432,5,True,False,False,False,True
29,9,15986,2,False,False,True,False,True
63,3,28752,1,False,False,False,True,False
39,8,24948,5,False,True,False,False,False
53,8,7582,5,False,False,False,False,False
20,0,14025,3,False,False,False,False,False
22,18,27178,3,False,False,False,True,True
29,14,16989,4,False,False,False,True,True
42,3,27575,1,False,True,False,False,False
19,18,10009,0,False,False,False,True,False
68,4,9035,2,False,False,True,False,True
19,15,22177,0,False,False,True,False,True
20,7,6979,5,True,False,False,False,False
34,19,18779,0,False,True,False,False,True
34,5,6199,0,False,False,True,False,True
20,13,18608,3,False,True,False,False,False
65,0,9464,2,False,False,True,False,False
57,0,26534,4,False,True,False,False,False
38,19,26864,0,False,False,False,True,False
22,13,27204,5,True,False,False,False,False
40,13,11535,5,False,False,False,True,True
38,18,22664,5,False,False,True,False,False
49,4,23857,1,False,False,False,True,True
20,16,20769,1,False,False,False,False,False
58,0,25776,3,False,False,True,False,False
24,2,23310,2,True,False,False,False,True
56,18,18087,3,False,False,False,True,False
19,10,17447,2,False,False,False,True,True
56,13,5550,1,False,True,False,False,True
56,20,21967,0,False,False,False,True,False
44,1,13987,0,False,False,False,True,True
64,9,15024,4,False,False,True,False,True
30,9,9948,2,False,False,False,False,False
63,20,11523,3,False,False,False,True,True
22,11,18338,0,True,False,False,False,False
52,7,7095,3,False,True,False,False,True
59,12,24529,4,False,True,False,False,True
78,2,17572,5,False,False,True,False,True
27,2,10388,2,False,False,False,False,True
19,5,29344,1,False,True,False,False,False
26,1,18211,4,False,False,False,True,True
49,2,21758,1,False,False,True,False,True
45,9,13303,3,False,True,False,False,True
61,15,29329,3,True,False,False,False,False
34,16,27202,5,False,True,False,False,True
48,16,13895,0,False,False,False,True,True
25,1,21682,2,False,True,False,False,True
66,1,23978,1,False,False,True,False,True
29,9,11131,2,True,False,False,False,False
54,9,8144,4,False,False,False,True,True
80,18,19300,5,False,False,True,False,True
52,4,20256,2,False,False,False,False,True
36,3,26736,5,False,True,False,False,False
49,9,12595,5,False,False,True,False,True
48,10,6497,2,False,True,False,False,False
76,1,14477,3,False,False,False,False,True
70,15,7690,5,True,False,False,False,False
23,16,29794,4,False,False,False,False,True
56,9,21526,0,False,False,True,False,False
55,17,9734,3,False,False,True,False,False
19,6,17458,1,False,True,False,False,False
72,0,5116,2,True,False,False,False,False
32,3,22791,2,True,False,False,False,True
18,16,25911,0,False,False,False,False,False
37,14,14300,0,False,False,False,True,True
32,15,12350,0,True,False,False,False,False
79,5,20089,3,False,False,False,False,False
22,5,25900,4,False,False,False,False,False
76,18,21360,3,False,False,False,False,False
76,6,28132,4,True,False,False,False,False
28,11,26320,3,False,False,False,True,False
54,18,5483,3,False,True,False,False,False
56,5,6188,3,True,False,False,False,False
43,17,14048,4,False,False,True,False,True
21,1,6262,0,False,False,False,False,False
19,15,28650,2,False,False,True,False,True
26,19,9172,3,False,True,False,False,True
78,20,25373,4,False,False,False,True,False
69,5,19771,1,False,False,True,False,True
49,18,27672,2,False,False,False,False,True
62,20,6194,5,False,False,False,False,True
